,BAGIX,VAR,,JDMNX
6/28/2016,10.745797,0,,86.840057
6/29/2016,10.745797,0,,88.509491
6/30/2016,10.745797,0,,89.884315
7/1/2016,10.774891,0.029094,,90.178925
7/5/2016,10.823384,0.048493,,89.481697
7/6/2016,10.813684,-0.0097,,89.884315
7/7/2016,10.823384,0.0097,,90.218208
7/8/2016,10.833081,0.009697,,91.759979
7/11/2016,10.813684,-0.019397,,92.133148
7/12/2016,10.784591,-0.029093,,92.781281
7/13/2016,10.803987,0.019396,,92.732178
7/14/2016,10.784591,-0.019396,,93.026787
7/15/2016,10.755496,-0.029095,,92.820557
7/18/2016,10.765193,0.009697,,92.928581
7/19/2016,10.774891,0.009698,,92.997322
7/20/2016,10.765193,-0.009698,,93.832047
7/21/2016,10.774891,0.009698,,93.350845
7/22/2016,10.774891,0,,93.645454
7/25/2016,10.774892,1E-06,,93.38031
7/26/2016,10.774892,0,,94.057907
7/27/2016,10.804039,0.029147,,93.763306
7/28/2016,10.804039,0,,93.969528
7/29/2016,10.833187,0.029148,,93.97934
8/1/2016,10.823471,-0.009716,,93.812401
8/2/2016,10.794323,-0.029148,,92.71254
8/3/2016,10.794323,0,,92.85984
8/4/2016,10.823471,0.029148,,93.046425
8/5/2016,10.784608,-0.038863,,93.841858
8/8/2016,10.784608,0,,93.625816
8/9/2016,10.813755,0.029147,,93.399956
8/10/2016,10.833187,0.019432,,93.183907
8/11/2016,10.794323,-0.038864,,93.753479
8/12/2016,10.823471,0.029148,,93.596352
8/15/2016,10.813755,-0.009716,,94.077553
8/16/2016,10.804039,-0.009716,,93.242828
8/17/2016,10.813755,0.009716,,93.075882
8/18/2016,10.833187,0.019432,,93.517799
8/19/2016,10.813755,-0.019432,,93.773117
8/22/2016,10.833187,0.019432,,94.18557
8/23/2016,10.833187,0,,94.676582
8/24/2016,10.842904,0.009717,,94.18557
8/25/2016,10.825379,-0.017525,,94.273949
8/26/2016,10.796175,-0.029204,,94.303413
8/29/2016,10.835114,0.038939,,94.666763
8/30/2016,10.835114,0,,95.049751
8/31/2016,10.835114,0,,94.843521
9/1/2016,10.835114,0,,95.128311
9/2/2016,10.825379,-0.009735,,95.599678
9/6/2016,10.854583,0.029204,,95.413101
9/7/2016,10.854583,0,,95.697876
9/8/2016,10.815642,-0.038941,,95.255974
9/9/2016,10.776704,-0.038938,,92.869659
9/12/2016,10.776704,0,,93.910599
9/13/2016,10.747499,-0.029205,,92.594696
9/14/2016,10.766969,0.01947,,92.437569
9/15/2016,10.766969,0,,93.606178
9/16/2016,10.766969,0,,93.085709
9/19/2016,10.766969,0,,93.498154
9/20/2016,10.776704,0.009735,,93.45887
9/21/2016,10.786442,0.009738,,94.509636
9/22/2016,10.805909,0.019467,,95.285431
9/23/2016,10.825379,0.01947,,94.823883
9/26/2016,10.836107,0.010728,,94.224846
9/27/2016,10.845863,0.009756,,94.656937
9/28/2016,10.845863,0,,94.961365
9/29/2016,10.855616,0.009753,,94.156105
9/30/2016,10.826356,-0.02926,,95.118492
10/3/2016,10.826356,0,,94.872986
10/4/2016,10.797094,-0.029262,,94.33287
10/5/2016,10.787344,-0.00975,,94.784599
10/6/2016,10.777587,-0.009757,,94.961365
10/7/2016,10.777587,0,,94.215034
10/10/2016,10.767835,-0.009752,,94.607834
10/11/2016,10.767835,0,,93.321388
10/12/2016,10.767835,0,,93.409775
10/13/2016,10.787344,0.019509,,93.007141
10/14/2016,10.75808,-0.029264,,93.007141
10/17/2016,10.777587,0.019507,,92.810745
10/18/2016,10.787344,0.009757,,93.193733
10/19/2016,10.787344,0,,93.331215
10/20/2016,10.797094,0.00975,,93.095528
10/21/2016,10.797094,0,,92.958046
10/24/2016,10.787344,-0.00975,,93.449059
10/25/2016,10.789296,0.001952,,92.398285
10/26/2016,10.76975,-0.019546,,92.084045
10/27/2016,10.740431,-0.029319,,91.298431
10/28/2016,10.740431,0,,91.337715
10/31/2016,10.750205,0.009774,,91.504654
11/1/2016,10.759977,0.009772,,90.974365
11/2/2016,10.76975,0.009773,,90.453896
11/3/2016,10.759977,-0.009773,,90.159286
11/4/2016,10.76975,0.009773,,90.247665
11/7/2016,10.750205,-0.019545,,92.084045
11/8/2016,10.740431,-0.009774,,92.329544
11/9/2016,10.632931,-0.1075,,92.9384
11/10/2016,10.613384,-0.019547,,93.203552
11/11/2016,10.584065,-0.029319,,93.390129
11/14/2016,10.554746,-0.029319,,93.714203
11/15/2016,10.554746,0,,94.254311
11/16/2016,10.564519,0.009773,,94.450714
11/17/2016,10.544971,-0.019548,,95.373817
11/18/2016,10.515656,-0.029315,,95.030106
11/21/2016,10.505879,-0.009777,,95.619324
11/22/2016,10.515656,0.009777,,96.16925
11/23/2016,10.496108,-0.019548,,96.591522
11/25/2016,10.487295,-0.008813,,96.876305
