barclays capital inflation-linked US treasury index
Barclays Capital Long-term Treasury Index
Bank of America Merrill Lynch High Yield Master Index
Russell 1000 Value Index
Russell 1000 Growth Index
Russell 2000 Value Index
Russell 2000 Growth Index
MSCI Emerging Market Index
FTSE EPRA Real Estate Global Index
Bloomberg Commodities Index
