100790,
VMFXX,0.11
BAGIX,0.3
TAHFX,0.85
DODGX,0.52
SEECX,0.48
VIIIX,0.02
PLGIX,0.62
TOTFX,0.9
JDMNX,0.68
DFFVX,0.37
VSCPX,0.04
HISCX,0.66
RERGX,0.5
DFISX,0.53
